,supersub_activated_leg_yn,bet_type,in_play_yn,sim,total_stakes,total_payout
277,Y,Multiple,Y,134,1778.66167700,16433.907338
278,N,Multiple,N,32,67140.29282900,686007.343650
279,N,Multiple,N,104,2346.28255000,45461.553723
280,N,Single,N,95,10113.98027400,24824.124749
281,Y,Single,Y,36,1038.85405000,4934.637385
282,Y,Multiple,N,55,10089.88235600,95696.588940
283,N,Multiple,N,105,19354.72984300,228345.333578
284,N,Single,N,22,5173.87773500,16274.408099
285,N,Single,Y,194,3861.69602800,21733.314188
286,N,Single,Y,125,4378.14776300,28565.294113
287,Y,Single,Y,138,1763.96850000,4560.680125
288,Y,Multiple,Y,121,1295.72052000,7952.416135
289,N,Multiple,N,186,13889.89567700,281849.119746
290,N,Single,N,124,1856.02790500,6029.700859
291,Y,Single,N,22,4690.32689600,9738.902965
292,N,Single,N,3,4147.06205700,13529.442676
293,Y,Multiple,Y,166,2538.79550100,33773.298951
294,N,Multiple,Y,91,552.81193000,10052.826171
295,N,Single,Y,166,3554.44469500,17064.518092
296,N,Multiple,Y,103,4057.86499700,36248.215807
297,Y,Single,Y,134,2182.79097500,6048.997853
298,Y,Multiple,Y,44,884.60434100,11151.440959
299,Y,Multiple,Y,156,306.12985000,5601.136535
300,Y,Single,Y,114,522.69800000,3479.125800
301,Y,Single,Y,112,899.05357600,4621.779000
302,Y,Multiple,Y,7,1624.68232100,18165.127358
303,N,Multiple,N,19,20686.37028000,276180.351992
304,Y,Single,Y,172,2175.67188200,6979.169273
305,N,Multiple,Y,23,6012.69531200,68693.387717
306,N,Single,N,128,10856.15280100,21690.330431
307,Y,Multiple,Y,119,1917.60663700,19313.704052
308,N,Single,N,108,3346.86975700,7894.643650
309,N,Single,N,102,6035.42629700,28101.676966
310,Y,Single,Y,51,895.59734000,3770.016976
311,N,Single,Y,59,9528.36881800,43477.730417
312,Y,Multiple,Y,143,1480.40699400,20224.462756
313,N,Multiple,Y,44,3241.01235900,28887.263772
314,N,Single,Y,114,5303.86263100,29239.223052
315,N,Multiple,Y,62,1653.41274000,22200.098284
316,Y,Multiple,N,25,1207.07192000,21299.323455
317,N,Multiple,Y,37,792.53380500,17194.065444
318,Y,Single,N,144,8049.87784600,17336.929487
319,N,Single,N,149,5473.52063200,21086.195157
320,N,Single,N,178,5001.95441700,13137.258828
321,N,Multiple,N,88,15802.13648700,201885.479911
322,N,Multiple,Y,85,5760.83920400,51500.047154
323,N,Multiple,N,62,13931.06820300,171352.849447
324,N,Single,Y,192,2579.97438600,15620.271743
325,Y,Multiple,Y,103,1357.95518000,11825.103195
326,N,Single,Y,117,8849.17694200,33632.030908
327,N,Single,Y,34,8276.85826700,44924.268133
328,Y,Multiple,Y,155,1784.39122500,21202.292839
329,N,Multiple,Y,56,1293.25397400,17352.939504
330,N,Single,Y,16,4963.92405500,33486.041867
331,Y,Multiple,N,155,24496.02408500,243483.435620
332,N,Single,N,94,4694.15233000,13937.640038
333,Y,Multiple,N,170,2813.24855800,40547.418944
334,N,Multiple,Y,55,4434.55313600,31700.013835
335,N,Single,N,12,7630.04178000,26450.259109
336,N,Multiple,Y,141,3760.54480500,41176.220059
337,Y,Single,Y,174,741.21825000,2667.986870
338,N,Single,Y,33,5753.81784600,36701.174158
339,Y,Single,N,160,6855.98748500,13097.156801
340,Y,Multiple,Y,3,1575.54381400,10962.763089
341,N,Multiple,Y,79,6252.99441000,81795.810933
342,N,Multiple,N,108,42840.35055000,306159.733343
343,N,Multiple,N,128,26168.12999100,259122.824166
344,N,Multiple,N,102,8472.07988500,157851.005649
345,Y,Single,N,84,6325.75875000,12409.860342
346,N,Single,N,65,8043.08453100,27319.674512
347,Y,Multiple,Y,172,3828.17063800,45638.822913
348,N,Single,Y,129,2656.02649700,16209.390465
349,Y,Multiple,Y,61,1980.24468300,21613.223529
350,N,Multiple,Y,149,2614.79125900,29066.413151
351,N,Multiple,N,157,53507.64133400,560985.006859
352,Y,Single,Y,128,1154.22186900,4795.341736
353,Y,Single,N,130,1488.59641500,3002.187753
354,Y,Multiple,N,35,26739.69421400,314250.050398
355,N,Multiple,Y,28,4013.67881200,31686.073713
356,Y,Multiple,N,124,12285.40058700,150668.571071
357,Y,Single,N,126,1608.35254500,5623.818436
358,N,Single,Y,195,3889.56772800,19065.309164
359,N,Multiple,Y,118,1264.66026800,22451.964777
360,N,Single,Y,63,5468.63409000,25571.688389
361,N,Multiple,N,38,33279.67095100,293577.995793
362,Y,Single,N,88,8976.51983600,23170.123676
363,N,Multiple,N,138,67051.05585000,561586.325841
364,N,Multiple,N,36,11917.09906100,160059.656372
365,Y,Single,Y,72,1559.28292500,7033.421137
366,Y,Single,N,49,1840.03589500,5372.039061
367,Y,Single,N,45,444.65170000,940.635250
368,N,Multiple,N,188,13041.71160200,203048.333135
369,Y,Single,N,79,601.24010000,1721.661486
370,Y,Multiple,Y,182,4255.57863700,16129.361974
371,N,Single,N,8,5011.52866000,12866.817469
372,N,Multiple,Y,94,1197.60080500,19691.716566
373,N,Multiple,Y,167,2437.07092600,29950.928804
374,N,Single,Y,174,2120.99531500,17003.489408
375,N,Single,Y,133,11054.48402600,41134.109709
376,N,Single,Y,24,5420.13467700,29800.978792
377,Y,Multiple,N,63,2774.25607100,41957.390653
378,N,Multiple,N,155,7981.68761000,123379.931122
379,N,Single,N,57,2856.21940100,8806.204924
380,Y,Single,Y,19,5056.45817800,14189.081619
381,N,Single,Y,128,5229.41261600,28504.443489
382,Y,Multiple,N,106,3034.71287400,47551.065509
383,Y,Multiple,N,152,14579.23871000,198326.809885
384,Y,Multiple,Y,162,2452.03610500,24230.863279
