,event_id,market_id,selection_id,home_team,away_team,selection_name,sot_level,actual_sot,total_bets_laid_on_next_sot_level,total_bets_laid,next_sot_level_laid,sample_weight
12730,12804248,460134399,2226823764,Arsenal,Liverpool,Gabriel Jesus,2,1,791,33639955,2,2.35137056515087e-05
12731,12569993,441613625,2147817850,Ipswich,Fulham,Conor Chaplin,1,0,4,33639955,1,1.18906223269324e-07
12732,13398471,481965102,2320180149,West Ham,Leicester,Victor Kristiansen,1,0,7,33639955,1,2.08085890721316e-07
12733,13840360,506058555,2418086310,Ipswich,West Ham,Lucas Paqueta,1,0,12,33639955,1,3.56718669807971e-07
12734,13635244,498349511,2383994252,Newcastle,Crystal Palace,Jacob Murphy,2,1,327,33639955,2,9.72058375226721e-06
12735,13398474,481775171,2319259124,Crystal Palace,Aston Villa,John McGinn,1,0,434,33639955,1,1.29013252247216e-05
12736,12767507,458822136,2221321476,Newcastle,Brighton,Yasin Ayari,1,0,25,33639955,1,7.43163895433273e-07
12737,13254856,475548636,2292071029,Southampton,Newcastle,Kamaldeen Sulemana,1,0,18,33639955,1,5.35078004711956e-07
12738,12931215,465177194,2248181577,Aston Villa,Crystal Palace,Ian Maatsen,2,1,1,33639955,2,2.97265558173309e-08
12739,12627902,445370907,2163711708,Liverpool,Bournemouth,Julian Araujo,1,0,2,33639955,1,5.94531116346618e-08
12740,13501225,493919350,2365760491,Arsenal,Fulham,Jurrien Timber,2,1,5,33639955,2,1.48632779086655e-07
12741,13254831,475548762,2292076455,Man City,Chelsea,Mateo Kovacic,1,0,1,33639955,1,2.97265558173309e-08
12742,12697142,452124587,2192376459,Everton,Crystal Palace,Ashley Young,1,0,1,33639955,1,2.97265558173309e-08
12743,13119698,470695902,2271551521,Brighton,Brentford,Simon Adingra,1,0,917,33639955,1,2.72592516844924e-05
12744,13266324,476743974,2297165161,Newcastle,Fulham,Reiss Nelson,1,0,1,33639955,1,2.97265558173309e-08
12745,12767537,458805236,2221253878,Wolves,Man City,Jack Grealish,2,1,12,33639955,2,3.56718669807971e-07
12746,12627898,445408949,2163906772,Tottenham,Brentford,Micky van de Ven,1,0,34,33639955,1,1.01070289778925e-06
12747,13701732,501754277,2399133376,Leicester,Southampton,Kamaldeen Sulemana,1,0,1486,33639955,1,4.41736619445537e-05
12748,13089613,470036888,2268633855,Aston Villa,Man City,Ezri Konsa,1,0,33,33639955,1,9.8097634197192e-07
12749,13149180,470835883,2272273276,Everton,Nottm Forest,Taiwo Awoniyi,2,1,8,33639955,2,2.37812446538647e-07
12750,13254831,475548762,2292076484,Man City,Chelsea,Jadon Sancho,1,0,2727,33639955,1,8.10643177138614e-05
12751,13501234,494226459,2366922383,Chelsea,Tottenham,James Maddison,1,0,4,33639955,1,1.18906223269324e-07
12752,13089603,470035247,2268627532,Crystal Palace,Arsenal,Jean-Philippe Mateta,2,1,759,33639955,2,2.25624558653542e-05
12753,12899906,462753974,2237995813,Brentford,Bournemouth,Yehor Yarmoliuk,1,0,1,33639955,1,2.97265558173309e-08
12754,13770865,504280332,2410419431,Chelsea,Man Utd,Moises Caicedo,1,0,161,33639955,1,4.78597548659028e-06
12755,13299444,479433851,2308914853,West Ham,Brentford,Lucas Paqueta,1,0,391,33639955,1,1.16230833245764e-05
12756,13534448,494898685,2369625372,Aston Villa,Nottm Forest,Taiwo Awoniyi,1,0,121,33639955,1,3.59691325389704e-06
12757,12697143,451218907,2188380975,Man Utd,Tottenham,Casemiro,1,0,154,33639955,1,4.57788959586896e-06
12758,12767530,458810082,2221271276,Liverpool,Chelsea,Andy Robertson,1,0,247,33639955,1,7.34245928688073e-06
12759,12804230,460113752,2226732698,Brighton,Wolves,Simon Adingra,1,0,1,33639955,1,2.97265558173309e-08
12760,12866488,461455208,2232398446,Tottenham,Aston Villa,Lucas Bergvall,1,0,2,33639955,1,5.94531116346618e-08
